"time","T_S","V_l","p_S","qm_S"
1987.2,258.4584814425169,66.26059254129031,45.75850119249451,90.51700238498903
1998,258.8241471110832,66.27144861637134,46.03234688722797,91.06469377445595
2008.8,259.18878190256044,66.28225613117402,46.30665831021404,91.61331662042808
2019.6,259.55248277890485,66.29288935213191,46.5815029682899,92.1630059365798
2030.4,259.91532142447545,66.3032377825938,46.85693042189193,92.71386084378386
2041.2,260.2773481513051,66.31320489643271,47.13297484261142,93.26594968522284
2052,260.63859358817774,66.32270825492964,47.40965594822032,93.81931189644064
2062.8,260.99907152541743,66.33167840702923,47.686980862019524,94.37396172403905
2073.6,261.358778530447,66.34006061924643,47.96494352830619,94.92988705661239
2084.4,261.71769762586996,66.34781264579358,48.243527278842556,95.48705455768511
2095.2,262.0758000773527,66.35490478672585,48.522705996997125,96.04541199399425
2106,262.43304821090453,66.36131783121962,48.80244612571426,96.60489225142852
2116.8,262.78939549112465,66.3670443144483,49.08270657412223,97.16541314824445
2127.6,263.144789368838,66.37208601382927,49.36344081782625,97.7268816356525
2138.4,263.4991732190955,66.37645375301783,49.64459833471488,98.28919666942976
2149.2,263.85248806622394,66.38016537760268,49.92612591093582,98.85225182187165
2160,264.20467338337767,66.38324620439565,50.20796824064033,99.41593648128065
2170.8,264.55566819004207,66.38572716346773,50.49006878266312,99.98013756532625
2181.6,264.9054135380085,66.38764400335874,50.77237176353197,100.54474352706394
2192.4,265.2538525728796,66.38903605004488,51.05482226291191,101.10964452582382
2203.2,265.6009319837798,66.38994578106367,51.3373674332869,101.6747348665738
2214,265.94660147742627,66.39041795990016,51.61995613149585,102.2399122629917
2224.8,266.29081646954126,66.39049832626375,51.90254118657591,102.80508237315182
2235.6,266.6335369128243,66.39023328141683,52.18507853176029,103.37015706352058
2246.4,266.974728887404,66.38966885401906,52.46752860400914,103.93505720801828
2257.2,267.314363008334,66.38885078601928,52.749855124960604,104.49971024992121
2268,267.6524169506948,66.38782293498893,53.03202729302216,105.06405458604432
2278.8,267.9888735318975,66.38662779627525,53.31401829596871,105.62803659193742
2289.6,268.32372213011286,66.38530515235554,53.595806597052324,106.19161319410465
2300.4,268.65695656569517,66.38389290723585,53.87737425521357,106.75474851042713
2311.2,268.98857718973875,66.3824254540689,54.158708777887874,107.31741755577575
2322,269.31858881003586,66.38093475657222,54.43980146346029,107.87960292692058
2332.8,269.64700162837653,66.37944900586928,54.72064828128212,108.44129656256425
2343.6,269.9738292389537,66.37799383536414,55.001248242174746,109.00249648434949
2354.4,270.29909001334806,66.37659093380647,55.2816046526479,109.5632093052958
2365.2,270.6228054351369,66.37525930128659,55.561723752185664,110.12344750437133
2376,270.9450003702599,66.37401419494196,55.84161500131537,110.68323000263074
2386.8,271.2657016247572,66.37286835046727,56.12128987848323,111.24257975696646
2397.6,271.5849385641907,66.37183106011175,56.400762455949526,111.80152491189905
2408.4,271.9027420657993,66.3709095104642,56.680048520052374,112.36009704010475
2419.2,272.2191442830622,66.37010786028472,56.95916538828929,112.91833077657859
2430,272.53417819388494,66.36942791040708,57.23813152965875,113.4762630593175
2440.8,272.8478771971752,66.36886916765346,57.51696621899303,114.03393243798607
2451.6,273.1602746692523,66.36842923869874,57.79568914734615,114.5913782946923
2462.4,273.4714036738593,66.36810346183493,58.07432016133339,115.14864032266678
2473.2,273.781296512365,66.36788542287906,58.35287885286868,115.70575770573735
2484,274.08998452225626,66.36776742738967,58.63138436439928,116.26276872879856
2494.8,274.397499217343,66.36774475794257,58.909856407502474,116.81971281500495
2505.6,274.70386873048494,66.36780714048584,59.18831202704779,117.37662405409559
2516.4,275.0091198649968,66.367945407769,59.46676742011332,117.93353484022664
2527.2,275.3132775047035,66.36815011397061,59.74523737334348,118.49047474668696
2538,275.6163705598359,66.36841160407992,60.023740705120375,119.04748141024075
2548.8,275.9184186007162,66.36872061016227,60.30228798469197,119.60457596938394
2559.6,276.2194412460267,66.3690682283408,60.58089008245568,120.16178016491136
2570.4,276.5194580976382,66.36944522478399,60.85955811111629,120.71911622223259
2581.2,276.8184895739994,66.36984185016405,61.13830420471077,121.27660840942154
2592,277.1165486487862,66.37025121782689,61.41713379121781,121.83426758243561
2602.8,277.4136480970758,66.37066664089164,61.69605228492393,122.39210456984786
2613.6,277.70980327412576,66.37107925389327,61.97506770699006,122.95013541398012
2624.4,278.00502528585696,66.3714827839734,62.25418426134006,123.50836852268012
2635.2,278.2993225730389,66.37187260796969,62.53340377115202,124.06680754230403
2646,278.59270309405326,66.37224434300298,62.8127277178625,124.625455435725
2656.8,278.88517669463795,66.3725920121094,63.09215950266169,125.18431900532337
2667.6,279.1767483496436,66.37291344857795,63.37169798880384,125.74339597760768
2678.4,279.46742313817026,66.3732065208516,63.65134221692435,126.3026844338487
2689.2,279.7572064760575,66.3734687058035,63.93109163319281,126.86218326638561
2700,280.04610422589553,66.37369707462277,64.21094620334961,127.4218924066992
2710.8,280.3341195133563,66.3738917137191,64.4909033219412,127.98180664388241
2721.6,280.6212559684626,66.37405248547078,64.77096093534284,128.54192187068568
2732.4,280.9075169698647,66.37417835528642,65.0511168110791,129.1022336221582
2743.2,281.192905727838,66.37426974294145,65.33136861711954,129.66273723423907
2754,281.46291006841614,66.37432757407676,65.61171402874439,130.22342805748877
2764.8,281.7473005012031,66.37435298479488,65.8921505730628,130.7843011461256
2775.6,282.0308573147545,66.37434769893147,66.17267415424764,131.3453483084953
2786.4,282.31358436261246,66.37431351627181,66.45328265559912,131.90656531119825
2797.2,282.59548489309486,66.37425264124168,66.73397339631724,132.46794679263448
2808,282.87656220682845,66.37416756923469,67.01474377981988,133.02948755963976
2818.8,283.15681973779647,66.37406105801071,67.29559137606817,133.59118275213635
2829.6,283.4362612205549,66.3739360947905,67.57651409219899,134.15302818439798
2840.4,283.7148906279414,66.37379587449271,67.85751011452943,134.71502022905887
2851.2,283.9927134167724,66.37364208973605,68.13857917472487,135.27715834944973
2862,284.26973469735765,66.3734776201186,68.41972071292454,135.8394414258491
2872.8,284.54596027031346,66.37330508266984,68.70093492948935,136.4018698589787
2883.6,284.8213963728921,66.37312655639671,68.98222253660704,136.96444507321408
2894.4,285.09604833180913,66.3729429325978,69.26358338307435,137.5271667661487
2905.2,285.3699238842063,66.3727556195508,69.54501985778944,138.09003971557888
2916,285.6430307265165,66.37256511158459,69.82653439764147,138.65306879528293
2926.8,285.9153744950023,66.37237275894282,70.1081273955983,139.2162547911966
2937.6,286.1869604580662,66.37217977466128,70.38979892589859,139.77959785179718
2948.4,286.45779642495893,66.37198553640793,70.6715517688187,140.3431035376374
2959.2,286.7278890190714,66.37178962031898,70.95338755636185,140.9067751127237
2970,286.9972436083557,66.37159545275777,71.23530668052892,141.47061336105784
2980.8,287.2658662182847,66.37140284255753,71.5173102847808,142.0346205695616
2991.6,287.5337622789981,66.37121252577323,71.79939895325028,142.59879790650055
3002.4,287.8009378614448,66.37102547681783,72.08157400888035,143.1631480177607
3013.2,288.0674024954725,66.37084239949432,72.36384051324949,143.72768102649897
